MFG_ID,MFG_NAME,DISTINCT_NUMBER_OF_RECIPIENTS,DISTINCT_NUMBER_OF_RECPS_GILEAD,COMMON_NUM_OF_RECPS,PERC_OF_RECIPIENTS_GILEAD
1E+11,Merck Sharp & Dohme Corporation,68119,16657,7897,0.1159
1E+11,"Comsort, Inc",1089,16657,87,0.0799
1E+11,Daiichi Sankyo Company Ltd,15,16657,2,0.1333
1E+11,"C. R. Bard, Inc. & Subsidiaries",1032,16657,29,0.0281
1E+11,Novartis Pharma Ag,117,16657,11,0.094
1E+11,"Hill-Rom Holdings, Inc",6,16657,0,0
1E+11,Sandoz Inc.,967,16657,86,0.0889
1E+11,National Dentex Llc,470,16657,0,0
1E+11,"Lilly Usa, Llc",45496,16657,4343,0.0955
1E+11,Sanofi Us Services Inc.,122,16657,11,0.0902
1E+11,"Regeneron Pharmaceuticals, Inc.",1030,16657,87,0.0845
1E+11,Tearlab Corp,122,16657,0,0
1E+11,Benco Dental Supply Co.,830,16657,0,0
1E+11,"Ucb, Inc.",11587,16657,1638,0.1414
1E+11,Sanofi-Aventis U.S. Llc,31534,16657,3781,0.1199
1E+11,"Medacta Usa, Inc.",560,16657,1,0.0018
1E+11,"Endologix, Inc.",1146,16657,29,0.0253
1E+11,Musculoskeletal Transplant Foundation Inc.,1491,16657,18,0.0121
1E+11,Covidien Lp,7980,16657,502,0.0629
1E+11,Vitalant,13,16657,2,0.1538
1E+11,Eli Lilly And Company,658,16657,71,0.1079
1E+11,"Genentech, Inc.",1318,16657,99,0.0751
1E+11,Fisher & Paykel Healthcare Inc,257,16657,36,0.1401
1E+11,"Srs Medical Systems, Inc.",72,16657,0,0
1E+11,Novabone Products,1,16657,0,0
1E+11,Glaukos Corporation,2820,16657,15,0.0053
1E+11,"Zimmer Biomet Holdings, Inc.",20522,16657,112,0.0055
1E+11,"Cryolife, Inc.",606,16657,3,0.005
1E+11,"Medtronic, Inc.",593,16657,13,0.0219
1E+11,Osprey Medical Inc,122,16657,24,0.1967
1E+11,"Gilead Sciences, Inc.",16657,16657,16657,1
1E+11,"Asahi Intecc Usa, Inc.",193,16657,15,0.0777
1E+11,"Otsuka Pharmaceutical Co., Ltd.",23,16657,5,0.2174
1E+11,Cardiovascular Systems Inc.,4284,16657,411,0.0959
1E+11,"Gyrus Acmi, Inc.",22,16657,0,0
1E+11,"Maxx Orthopedics, Inc.",92,16657,0,0
1E+11,Ethicon Inc.,485,16657,42,0.0866
1E+11,"Ipsen Biopharmaceuticals, Inc",3337,16657,613,0.1837
